property;value
shoulderHalfRight;0.19307
upperarmRight;0.254546
forearmRight;0.311559
shoulder;0.251234
upperBody;0.260796
hip;0.112125
lowerBody;0.364576
body;0.625334
lowerLegLeft;0.361203
upperLegLeft;0.475359
upperLegRight;0.490225
lowerLegRight;0.437013
forearmLeft;0.302462
upperarmLeft;0.330321
shoulderHalfLeft;0.128604
neck;0.0834565
shoulderHalfRight;0.193119
upperarmRight;0.254636
forearmRight;0.313976
shoulder;0.251358
upperBody;0.260788
hip;0.112064
lowerBody;0.364546
body;0.625296
lowerLegLeft;0.35801
upperLegLeft;0.475472
upperLegRight;0.490237
lowerLegRight;0.435516
forearmLeft;0.302509
upperarmLeft;0.33035
